nik,company,hire,termination,status
,SEA,2021-09-06,2022-08-29,Resign
,PIT,2022-07-29,2022-09-01,Resign
,SEA,2022-07-29,2022-09-20,Resign
,PIT,2022-12-05,2022-12-30,Resign
,SEA,2021-06-14,2022-12-30,Resign
,PIT,2022-10-25,2022-12-30,Resign
,SEA,2022-09-12,2022-12-30,Resign
,SEA,2021-01-04,2022-12-30,Resign
,PIT,2018-02-07,2022-12-30,Resign
,SEA,2022-12-21,2023-01-05,Resign
,SEA,2022-09-08,2023-01-09,Resign
,SEA,2019-11-05,2023-01-20,Resign
,SPS,2022-08-01,2023-01-31,Resign
,SEA,2019-03-08,2023-02-28,Resign
,SEA,2023-01-04,2023-03-03,Resign
,PIT,2019-02-11,2023-03-11,Resign
,PIT,2022-09-01,2023-04-01,Resign
,SEA,2022-10-17,2023-04-28,Resign
,SEA,2017-09-04,2023-04-28,Resign
,SEA,2022-06-13,2023-04-28,Resign
,PIT,2019-08-01,2023-05-02,Resign
,SEA,2022-10-01,2023-05-19,Resign
,SEA,2023-02-13,2023-05-20,Resign
,SEA,2023-02-13,2023-05-20,Resign
,SEA,2023-03-01,2023-05-31,Resign
,SEA,2019-08-20,2023-06-02,Resign
,PIT,2022-10-25,2023-06-13,Resign
,SEA,2023-05-08,2023-06-19,Resign
,SEA,2023-05-12,2023-06-30,Resign
,SEA,2021-07-06,2023-06-30,Resign
,PIT,2022-09-01,2023-06-30,Resign
,PIT,2023-06-19,2023-06-30,Resign
,SEA,2019-02-06,2023-07-31,Resign
,PIT,2023-02-13,2023-08-04,Resign
,PIT,2023-06-02,2023-08-21,Resign
,SEA,2023-05-02,2023-08-31,Resign
,SEA,2016-07-11,2023-08-31,Resign
,PIT,2023-02-01,2023-08-31,Resign
,PIT,2023-03-01,2023-09-01,Resign
,SPS,2023-01-02,2023-09-22,Resign
,SEA,2022-10-11,2023-09-29,Resign
,SPS,2023-02-01,2023-09-29,Resign
,SEA,2023-07-10,2023-09-30,Resign
,PIT,2023-05-15,2023-10-01,Resign
,PIT,2023-09-01,2023-10-01,Resign
,PIT,2023-06-12,2023-10-11,Resign
,SEA,2023-07-31,2023-10-31,Resign
,SEA,2010-10-27,2023-10-31,Resign
,PIT,2002-05-03,2023-10-31,Resign
,PIT,2023-04-10,2023-11-01,Resign
,PIT,2023-10-02,2023-11-09,Resign
,PIT,2023-10-02,2023-11-09,Resign
,PIT,2023-11-01,2023-12-01,Resign
,PIT,2023-11-15,2023-12-01,Resign
,PIT,2023-11-15,2023-12-01,Resign
,SEA,2023-07-10,2023-12-01,Resign
,PIT,2023-11-02,2023-12-01,Resign
,SEA,2022-05-09,2024-01-05,Resign
,LSP,2023-09-13,2024-01-11,Resign
,SEA,2023-06-03,2024-01-15,Resign
,PIT,2022-01-03,2024-01-20,Resign
,SEA,2023-02-01,2024-01-31,Resign
,SEA,1997-01-01,2024-01-31,Resign
,SEA,2019-04-08,2024-01-31,Resign
,SEA,2023-09-14,2024-02-13,Resign
,SEA,2023-12-11,2024-02-15,Resign
,PIT,2023-09-04,2024-02-23,Resign
,PIT,2011-03-01,2024-02-29,Resign
,PIT,2023-11-01,2024-03-15,Resign
,SEA,2023-10-02,2024-03-28,Resign
,PIT,2024-02-12,2024-04-01,Resign
,PIT,2023-08-31,2024-04-04,Resign
,SEA,2024-02-13,2024-04-05,Resign
,PIT,2023-10-12,2024-04-06,Resign
,PIT,2024-02-01,2024-04-06,Resign
,PIT,2023-11-06,2024-04-06,Resign
,PIT,2023-10-12,2024-04-06,Resign
,PIT,2024-01-02,2024-05-03,Resign
,PIT,2023-11-06,2024-05-04,Resign
,PIT,2019-05-02,2024-05-06,Resign
,PIT,2024-01-02,2024-05-07,Resign
,PIT,2023-09-15,2024-05-31,Resign
,SEA,2023-10-16,2024-06-03,Resign
,SEA,2024-05-02,2024-06-03,Resign
,PIT,2023-11-01,2024-06-05,Resign
,PIT,2019-08-20,2024-06-06,Resign
,SEA,2021-11-01,2024-06-10,Resign
,SEA,2023-03-08,2024-06-14,Resign
,PIT,2024-05-13,2024-07-08,Resign
,SPS,2024-02-01,2024-07-19,Resign
,PIT,2006-06-19,2024-07-22,Resign
,PIT,2023-11-06,2024-07-31,Resign
,SEA,2023-12-01,2024-07-31,Resign
,PIT,2006-03-03,2024-07-31,Resign
,PIT,2024-03-09,2024-07-31,Resign
,SEA,2024-06-08,2024-08-10,Resign
,SEA,2022-08-08,2024-08-30,Resign
,LSP,2019-06-04,2024-08-30,Resign
,SPS,2024-05-02,2024-08-30,Resign
,SEA,2024-03-01,2024-08-30,Resign
,PIT,2024-04-17,2024-09-04,Resign
,PIT,2023-09-11,2024-09-11,Resign
,SEA,2018-11-19,2024-09-20,Resign
,PIT,2024-08-12,2024-09-30,Resign
,SEA,2023-05-02,2024-09-30,Resign
,PIT,2024-09-02,2024-10-01,Resign
,PIT,2024-08-12,2024-10-30,Resign
,PIT,2024-06-03,2024-10-31,Resign
,PIT,2023-01-02,2024-10-31,Resign
,SEA,2022-08-03,2024-10-31,Resign
,PIT,2023-10-16,2024-11-30,Resign
,LSP,2024-08-01,2024-11-30,Resign
,SEA,2021-06-02,2024-12-20,Resign
,PIT,2003-11-07,2024-12-26,Resign
,SEA,2022-08-04,2024-12-31,Resign
,PIT,2023-12-07,2025-02-28,Resign
,PIT,2024-11-04,2025-03-01,Resign
,SEA,2022-01-13,2025-03-08,Resign
,PIT,2016-04-11,2025-03-28,Resign
,PIT,2024-02-06,2025-03-28,Resign
,PIT,2024-04-01,2025-04-01,Resign
,PIT,2018-03-19,2025-04-02,Resign
,PIT,2024-11-21,2025-04-02,Resign
,SEA,2018-02-20,2025-04-07,Resign
,SEA,2018-03-29,2025-04-17,Resign
,SEA,2024-07-05,2025-04-25,Resign
,SEA,2024-10-10,2025-04-28,Resign
,SEA,2020-08-03,2025-04-30,Resign
,PIT,2024-11-22,2025-05-15,Resign
,SPS,2024-03-18,2025-05-18,Resign
